Task ID,Task,Occupation (O*NET-SOC Title),Automation_Quadrant,AI_Opportunity_Score
9413,"Transcribe dictation for a variety of medical reports, such as patient histories, physical examinations, emergency room visits, operations, chart reviews, consultation, or discharge summaries.",Medical Transcriptionists,1. Mỏ Vàng AI (Quick Wins),4.3
49,"Develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports.",Medical and Health Services Managers,1. Mỏ Vàng AI (Quick Wins),4.2
9423,"Set up and maintain medical files and databases, including records such as x-ray, lab, and procedure reports, medical histories, diagnostic workups, admission and discharge summaries, and clinical resumes.",Medical Transcriptionists,1. Mỏ Vàng AI (Quick Wins),4.142857142857142
9417,Translate medical jargon and abbreviations into their expanded forms to ensure the accuracy of patient and health care facility records.,Medical Transcriptionists,1. Mỏ Vàng AI (Quick Wins),4.071428571428571
9414,"Review and edit transcribed reports or dictated material for spelling, grammar, clarity, consistency, and proper medical terminology.",Medical Transcriptionists,1. Mỏ Vàng AI (Quick Wins),4.071428571428571
9421,"Produce medical reports, correspondence, records, patient-care information, statistics, medical research, and administrative material.",Medical Transcriptionists,1. Mỏ Vàng AI (Quick Wins),4.0625
15584,Register protocol patients with appropriate statistical centers as required.,Clinical Research Coordinators,1. Mỏ Vàng AI (Quick Wins),4.0
9416,"Return dictated reports in printed or electronic form for physician's review, signature, and corrections and for inclusion in patients' medical records.",Medical Transcriptionists,1. Mỏ Vàng AI (Quick Wins),4.0
16791,"Compile data for use in activities, such as gene expression profiling, genome annotation, or structural bioinformatics.",Bioinformatics Scientists,1. Mỏ Vàng AI (Quick Wins),4.0
9420,"Perform data entry and data retrieval services, providing data for inclusion in medical records and for transmission to physicians.",Medical Transcriptionists,2. Vùng Kháng Cự (Resistance),3.916666666666667
